cr714__requestsid,cr714_additionalinformation,cr714_currentstate,cr714_delegates,cr714_desiredfuturestate,cr714_disposition,cr714_howdiscovered,cr714_impact,importsequencenumber,cr714_location,cr714_name,cr714_program,cr714_projecttype,cr714_sg1comment,cr714_sg1notes,cr714_shorttitle,cr714_sponsornameflat,cr714_spotid,statuscode,statecode,timezoneruleversionnumber,cr714_timestamp_dqcheck,cr714_timestamp_pirtassessment,cr714_timestamp_prioritized,cr714_timestamp_projectcreation,cr714_timestamp_sg1review,cr714_timestamp_submitted,utcconversiontimezonecode,versionnumber,cr714_whenneeded,cr714_whenneededjustification,cr714_workflowstep,owningbusinessunit,cr714_sponsor.azureactivedirectoryobjectid
ac3e0298-dead-f111-aaac-7ced8d1ca135,,These risks are monitored and mitigated independantly and not in one central location. T2 does not hear about these risks until there is a threat to operations - reactionary vs proactive discussions.,,"The project will leverage existing governance structures and operational review forums with consolidated weekly review at ABP T2 and monthly review at BPR.

Key activities include:

1. Collect critical risk indicators from each functional area.
2. Review risk status and trends on a weekly cadence.
3. Assess cross-functional dependencies and compounding risk factors.
4. Escalate high-risk conditions through established leadership channels.
5. Monitor mitigation effectiveness and residual risk levels.",Pending,"This issue has been identified as part of SLTs business review, in light of 2 contamination events at ABP, as well as several impactful equipment issues in FY26 (drain line issue, media PLC issues.)","This project will not have any impact to operations, and, if successful, will ensure their continued success.",,185 Alewife Brook Parkway; 205 Alewife Brook Parkway,Alewife Continuous Operations,Strategic Priorities,Base Business,,,Alewife Continuous Operations,John Honey,,1,0,4,,,,,,2026-09-11 12:45:12.0000000,,27062008,2027-03-10,"ABP Continuous Operations was identified as one of the Top 5 Risks for MBOs success in FY 26. That risk consists of various inputs including:

-equipment reliability
-contamination control / prevention
-staffing of critical roles in MFG and Facilities
-material availability, specifically Bovine Calf Serum

All of these risks have relationships and interdependencies upon one another. For example, reliability of our Media Equipment could have impact on the usage rate of Bovine Calf Serum. Availability of critical Facilities staff impacts the reliability of our equipment, which also poses a risk to our contamination controls, which are lead by critical MFG Staff. These risks are actively being addressed within the individual Value Streams (MFG, Site Eng, Supply Chain, etc.) as part of our base business. This project leverages routine governance for those Value Streams to activelt monitor the state of those risks at a weekly cadence to allow for prioritized escalation and deterrence.",3. DQ Check,04d25798-3a42-ee11-bdf5-000d3a8fd327,b2a3c072-6583-48c5-870d-4ad99ddae01f
9d6f22fc-0ead-f111-aaac-7c1e5215f4b4,,Current operations and structure are not aligned with future operational plan and structure to support the site goals of producing product in half the time at half the cost.,,Steamlined processes and right-sized resources to effectively support manufacturing operations.,Pending,Operational Performance Efficiency (OPE) assessment,Will result in more efficient processes across Engineering requiring less resources and cost to perform.,,Lexington Campus,MBO TxN - ENG - Site Engineering Discipline Optimization,,Standard Project,,,MBO TxN - ENG - Site Engineering Discipline Optimization,John Honey,1063896,1,0,0,,,,2026-09-10 19:41:24.0000000,,2026-09-10 11:59:32.0000000,,27055046,2027-08-31 04:00:00.0000000,Transformation project for Engineering to meet POBOS targets established for Site Engineering,7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,b2a3c072-6583-48c5-870d-4ad99ddae01f
b6bf7fc9-5eac-f111-aaac-7c1e527cdbd8,MBO TIP 2 project,"Manual reports, manual Empower software integration and amanual scheduiling in QC",,"Automate reports, Empower integration and QC scheduling",Pending,QC Booster Diagnostic,0.58 OY,,300 Shire Way,MBO TxN - QC - Data & Digital,Quality,Standard Project,,,MBO TxN - QC - Data & Digital,Maggie Seibel,,1,0,0,,,,2026-09-09 19:56:33.0000000,,2026-09-09 17:57:28.0000000,,26992183,2026-09-21 04:00:00.0000000,"QC does perform manual reports, including data collection for invalid assay trending, EM trending. All scheduling in QC is done by Excel spreadsheet and as continuation of TIP 1, we are implementing and handing over smartsheets to the labs to automatize scheduling. GLIMS integration with some software are still manual, requiring transcriptions that may generate error and performance inefficiencies.",7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,daf1bf4e-9ac8-4e93-b50e-54b0dc21e997
09d20795-5fac-f111-aaac-000d3a8cdfc7,,"No standard work for assays, including SCA and Raw Materials testing",,Create standard work for SCA assay and Raw Materials assays,Pending,QC Booster DIagnostic Phase,0.07 OY,,300 Shire Way,MBO TxN - QC - Lab Operational Standard Work,Quality,Standard Project,,,MBO TxN - QC - Lab Operational Standard Work,Maggie Seibel,,1,0,0,,,,2026-09-09 19:56:21.0000000,,2026-09-09 17:52:36.0000000,,26992177,2026-09-21 04:00:00.0000000,"QC has extended preparation steps with significant waste​, undefined standard testing cycle times​, longer-than-necessary manual task times​",7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,daf1bf4e-9ac8-4e93-b50e-54b0dc21e997
257ef099-74ac-f111-aaac-7c1e52fd84c7,,"Preliminary performance management was implemented at all QC tier levels, but no KPI trending, lower tier level of leader standard work and lower tier level routines were implemented",,"Implement new KPIs and trending maturity, including focused leader standard work and operation routine",Pending,QC Booster DIagnostic Phase,total impact 0.78 OY,,300 Shire Way,MBO TxN - QC - Performance Management,Quality,Standard Project,,,MBO TxN - QC - Performance Management,Maggie Seibel,,1,0,0,,,,2026-09-09 19:56:07.0000000,,2026-09-09 17:39:48.0000000,,26992172,2026-09-21 04:00:00.0000000,"QC does not have a performance management program in place. At QC Booster TIP 1, the performance management program was implemented and as continuation is necessary to implement ownership routines, KPI trending maturity and evolve leader standard work",7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,daf1bf4e-9ac8-4e93-b50e-54b0dc21e997
8611184e-75ac-f111-aaac-7c1e5215f4b4,,Testing capabilities are not fully utilized and unnecessary testing for stability,,"Reduce stability testing, by opening a Change Control and execute necessary data analysis. Insource external testing for Raw Materials",Pending,QC Booster DIagnostic Phase,1.6 OY,,300 Shire Way,MBO TxN - QC - Testing Optimization & Rationalization,Quality,Standard Project,,,MBO TxN - QC - Testing Optimization & Rationalization,Maggie Seibel,,1,0,0,,,,2026-09-09 19:55:52.0000000,,2026-09-09 17:39:39.0000000,,26992166,2026-09-21 04:00:00.0000000,"QC lacks capacity to execute testing due uncommon stability testing requirements and have high spend with equipment maintenance for obsolete programs, while testing in contract labs assays that can be executed internally without major effort",7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,daf1bf4e-9ac8-4e93-b50e-54b0dc21e997
ae571fd7-aaab-f111-aaac-0022481fc755,"09SEP26 - SPOT ID is already created, this is an old project and needed resource plan.",Clockworks is installed in 300SW and has resulted in significant energy waste savings opportunites in the office space areas.  Installing the platform in the 400SW office space as well as the cleanroom areas is expected to identify even more opportunities to save on operational costs.,,Clockworks installed in 400SW and identifying energy savings opportunites through improperly operating systems and/or drifting/malfunctioning equipment.,Pending,Prior experience with Clockworks at MBO,"This is a SaaS platform, so impact to existing operations is very minimal.  No shutdown or invasive work is required. The platform uses existing BMS data to analyze and identify opportunities.",,400 Shire Way,400SW - EHS - Clockworks Platform Expansion,,Standard Project,,,400SW - EHS - Clockworks Platform Expansion,JD Fier,1046084,1,0,0,,,,2026-09-09 16:02:41.0000000,,2026-09-09 14:59:24.0000000,,26990199,2027-03-07 05:00:00.0000000,Platform expansion into 400SW will help identify energy ineffciency opportunites which will lead to reduced operating costs.,7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,c85382f3-fe11-4a71-b61d-acfa29d8f3fb
05b53ae6-6196-f111-8076-7ced8d1ca135,"Routine ""viral"" samples are taken from the bioreactor to determine if there is a presence of a viral contamination. However, the use of 0.1um filters will reduce the risk beyond only monitoring. 

MS submitted a project intake form and it was categorized as a low-risk continuous improvement project (Risk Register #78, Severity 4, Probability 1). Mycoplasma can interfere with cell growth and metabolism. Some species can deform and are smaller than 0.2 um. Alewife experienced a mycoplasma contamination in 2017 but Lexington has not yet experienced one. Other sites like Brooklyn Park uses 0.1 um filtration for all BRX solutions. Although it is categorized as low risk, the impact can be significant. In addition, the 0.1um filters already exist in other areas of the process and the cost difference is not significant. Project support would come from the following groups: MS, MQ, MFG, QA, PV, ENG, and SC. This proposal is seeking a sponsor and project prioritization amongst other projects to determine when to initiate and implement.",Bioreactor media is 0.1um filtered but eight other solutions going into the bioreactor are only 0.2um filtered.,,All solutions entering the bioreactor will be 0.1um filtered.,Pending,MS identified the gap when reviewing the process.,The replacement of 0.2um filters with 0.1um filters for the eight solutions will have a minimal impact on operations.,,400 Shire Way,400SW - MSCI - Filtration of Bioreactor Solutions,,,,,400SW - MSCI - Filtration of Bioreactor Solutions,Joon Chong Yee,,1,0,0,,,,,,2026-08-12 15:27:23.0000000,,26990179,2027-03-31 04:00:00.0000000,A mycoplasma or other contamination would result in a loss of product.,3. DQ Check,04d25798-3a42-ee11-bdf5-000d3a8fd327,7afc53f2-c5e1-4ce6-80d8-09ae1e28bec7
8ccfa7cc-bdab-f111-aaac-7c1e5215f4b4,,"Through review of site EHS risks, the EHS team identified four strategic objectives for calendar year 2026.",,Compliance with existing EHS requirements and adherence to EHS and leadership expectations.,Pending,EHS Management Review,Objectives strongly impact Site Engineering organization.,,200 Shire Way; 300 Shire Way; 185 Alewife Brook Parkway; Belmont Warehouse; 400 Shire Way; 125 Spring Street; 205 Alewife Brook Parkway; Lexington Campus; 500 Shire Way; North Reading Warehouse,MBO - EHS - FY26 EHS Objectives,,Standard Project,,,MBO - EHS - FY26 EHS Objectives,James Hayes,,1,0,4,,,,,,2026-09-08 19:45:37.0000000,,26990133,2027-03-07 05:00:00.0000000,EHSMS Objectives presented at the July EHSMR for leadership endorsement. Team decided to track objectives via SPOT.,2. Prioritization,04d25798-3a42-ee11-bdf5-000d3a8fd327,ead08ddb-ea53-4824-96ca-f686d99479e9
311101dc-224a-f111-bec6-7c1e5215f4b4,09Sep26 - Michelle & Stephanie to work with Eric B on having a Beacon open for this one in the meantime,"Tubing setup in Recovery 2 during Harvest Clarification for Mezagitamab, Lanadelumab and VPRIV is not well arranged. Pressure indicator transmitters are not setup properly and have no secure holders. Cart used to put tubing, pressure transmitters and exo valves uses cart that is designed for MadCam. 

Current Mezagitamab Harvest Clarification setup uses a lot of tubing and exo valves which may pose safety hazard for heavy load on a cart that is not designed for this setup.",,"Recovery 2 Harvest Clarification for Mezagitamab, Lanadelumab and VPRIV will have appropriate tubing, valve and pressure instrument set up using a customised cart, tube rack, etc. that is specifically designed/customized for the process setup.",Pending,Discovered during GEMBA of Mezagitamab Harvest Clarification run by Mfg. Supervisors and Managers.,Impact on process and instrument and operator safety.,,400 Shire Way,400SW - CI - Harvest Clarification Tubing Management for Recovery 2,,Standard Project,,,400SW - CI - Harvest Clarification Tubing Management for Recovery 2,Stephanie Smieszek-Racine,1063841,1,0,0,,,,2026-09-09 14:49:29.0000000,,2026-05-07 14:43:10.0000000,,26989941,2027-06-30 04:00:00.0000000,"Reduce heavy load arrangement of tubing, exo valves and pressure indicator/transmitter on a cart that is not appropriate for clarificaiton setup especially for Mezagitamab, which requires more tubing and exo valves. If not addressed, this can be posed as a safety hazard from heavy load.  

Potential damage to pressure indicator/transmitter if cart used is not properly designed specifically for the Mezagitamab/Lanadelumab/VPRIV Harvest Clarification steup.",7. Processed,04d25798-3a42-ee11-bdf5-000d3a8fd327,5de13563-a168-43ac-a45b-c1b028115bdf
